first_name,last_name,phone_number,mortgage_renewed,is_financial_advisor,id
OLIVIA,MARTINEZ,(742)578-9142,True,False,0
CHRISTINA,LOPEZ,(742)578-3950,False,False,1
GRACE,WILSON,(742)686-2673,True,False,2
SHARON,JOHNSON,(742)686-6624,False,False,3
BEVERLY,MOORE,(742)848-4946,True,False,4
SANDRA,WILSON,(742)578-5977,True,False,5
SUSAN,CLARK,(742)848-9658,True,False,6
MELISSA,MARTINEZ,(742)473-3870,False,False,7
JACQUELINE,MILLER,(742)848-7815,True,False,8
RUTH,MILLER,(742)848-8987,True,False,9
ANDREA,RODRIGUEZ,(742)473-9065,False,False,10
CHRISTINE,TAYLOR,(742)686-6802,False,False,11
GLORIA,WILLIAMS,(742)686-8490,True,False,12
BEVERLY,PEREZ,(742)578-4222,False,False,13
EMILY,WILSON,(742)848-8556,False,False,14
AMY,CLARK,(742)473-5094,False,False,15
KAREN,BROWN,(742)578-6336,False,False,16
KATHLEEN,LEE,(742)473-5998,True,False,17
ALICE,RODRIGUEZ,(742)686-3164,True,False,18
NATALIE,WILSON,(742)848-2185,True,False,19
SARAH,SMITH,(742)848-2582,False,False,20
JEAN,JOHNSON,(742)578-3562,False,False,21
NICOLE,PEREZ,(742)848-5657,True,False,22
MARGARET,WILLIAMS,(742)578-9440,True,False,23
JEAN,JONES,(742)848-6969,False,False,24
MEGAN,GARCIA,(742)848-6518,False,False,25
KAYLA,WHITE,(742)473-4436,False,False,26
JOYCE,WHITE,(742)578-4925,False,False,27
JESSICA,WILSON,(742)686-9834,True,False,28
KATHRYN,HARRIS,(742)578-4816,True,False,29
NATALIE,BROWN,(742)578-4536,False,False,30
ANDREA,JONES,(742)848-5345,True,False,31
THERESA,MARTINEZ,(742)848-6368,False,False,32
VIRGINIA,GARCIA,(742)473-5104,True,False,33
KAYLA,GONZALEZ,(742)848-9225,True,False,34
ASHLEY,BROWN,(742)473-9151,False,False,35
JESSICA,CLARK,(742)473-4412,True,False,36
MARILYN,MOORE,(742)848-9760,True,False,37
JULIA,CLARK,(742)686-2104,True,False,38
HEATHER,JOHNSON,(742)578-4384,False,False,39
DEBRA,PEREZ,(742)473-4770,True,False,40
BRITTANY,GONZALEZ,(742)578-5961,True,False,41
THERESA,HARRIS,(742)578-2339,True,False,42
DONNA,HARRIS,(742)848-1965,False,False,43
MARIE,MILLER,(742)686-8115,False,False,44
AMBER,MARTIN,(742)473-4576,True,False,45
BEVERLY,MILLER,(742)473-2908,False,False,46
EVELYN,LEE,(742)848-3076,False,False,47
JULIA,SANCHEZ,(742)686-5739,False,False,48
KIMBERLY,THOMAS,(742)578-1554,False,False,49
REBECCA,MARTIN,(742)686-4823,False,False,50
NICOLE,WILLIAMS,(742)578-7119,True,False,51
MICHELLE,MARTIN,(742)578-3136,True,False,52
KIMBERLY,MARTIN,(742)686-6547,True,False,53
TERESA,ANDERSON,(742)578-6819,False,False,54
CHRISTINE,THOMAS,(742)686-3916,False,False,55
ANDREA,SANCHEZ,(742)473-9755,True,False,56
SUSAN,PEREZ,(742)473-9505,True,False,57
VIRGINIA,BROWN,(742)848-9020,False,False,58
AMBER,SANCHEZ,(742)848-5228,False,False,59
BRENDA,GONZALEZ,(742)578-7445,False,False,60
JANET,MARTINEZ,(742)686-8116,False,False,61
REBECCA,HERNANDEZ,(742)686-5529,True,False,62
BEVERLY,MARTINEZ,(742)473-6238,True,False,63
SHARON,THOMPSON,(742)473-1173,False,False,64
MADISON,TAYLOR,(742)848-4653,False,False,65
SUSAN,MARTINEZ,(742)578-4461,True,False,66
JOYCE,ANDERSON,(742)473-9330,False,False,67
ALEXIS,HERNANDEZ,(742)578-3584,True,False,68
AMY,THOMAS,(742)473-8437,False,False,69
THERESA,LEE,(742)848-5112,False,False,70
JUDY,JONES,(742)686-4564,True,False,71
LAUREN,TAYLOR,(742)848-5348,True,False,72
JUDY,THOMAS,(742)686-3062,False,False,73
THERESA,SMITH,(742)686-1592,True,False,74
SHARON,DAVIS,(742)848-9649,False,False,75
LISA,JONES,(742)473-7382,True,False,76
DENISE,HERNANDEZ,(742)848-1464,True,False,77
MARGARET,MILLER,(742)686-7584,False,False,78
DIANE,ANDERSON,(742)473-8978,True,False,79
JULIE,JONES,(742)578-6230,False,False,80
RUTH,JONES,(742)848-5942,False,False,81
ALICE,WILLIAMS,(742)848-8210,True,False,82
EVELYN,MARTINEZ,(742)473-2444,False,False,83
MARIA,THOMAS,(742)473-8355,True,False,84
KAREN,SANCHEZ,(742)473-7330,True,False,85
ELIZABETH,MOORE,(742)473-9087,True,False,86
NICOLE,GONZALEZ,(742)578-7200,False,False,87
GLORIA,MILLER,(742)848-3608,False,False,88
BETTY,GARCIA,(742)686-6298,False,False,89
MARIE,ANDERSON,(742)848-9495,False,False,90
CHERYL,DAVIS,(742)473-5987,False,False,91
LISA,HERNANDEZ,(742)578-3265,True,False,92
STEPHANIE,ANDERSON,(742)473-7074,True,False,93
RUTH,MOORE,(742)848-2956,False,False,94
RUTH,LOPEZ,(742)686-3207,True,False,95
PATRICIA,LOPEZ,(742)848-1565,True,False,96
VICTORIA,WILSON,(742)578-5953,True,False,97
MEGAN,WHITE,(742)686-3603,False,False,98
CYNTHIA,WILSON,(742)473-5029,True,False,99
KATHERINE,WHITE,(742)686-7201,True,False,100
LAUREN,MILLER,(742)473-4092,True,False,101
JANICE,PEREZ,(742)686-9750,False,False,102
CAROLYN,THOMPSON,(742)473-5508,True,False,103
MELISSA,ANDERSON,(742)686-2896,True,False,104
NATALIE,HERNANDEZ,(742)578-4666,False,False,105
JANICE,THOMPSON,(742)578-8591,False,False,106
SAMANTHA,TAYLOR,(742)686-2616,True,False,107
KAYLA,LEE,(742)473-1105,True,False,108
SHARON,MARTINEZ,(742)848-6291,False,False,109
PATRICIA,CLARK,(742)578-2736,False,False,110
KELLY,DAVIS,(742)848-4668,False,False,111
CHARLOTTE,THOMAS,(742)473-5326,True,False,112
HELEN,WHITE,(742)578-9857,False,False,113
AMBER,GONZALEZ,(742)848-9813,False,False,114
KAREN,THOMPSON,(742)848-6862,True,False,115
KATHERINE,MARTIN,(742)578-1085,True,False,116
GRACE,WILSON,(742)473-8508,True,False,117
EMILY,JACKSON,(742)473-6101,True,False,118
EVELYN,MARTINEZ,(742)686-4921,False,False,119
CHRISTINE,BROWN,(742)578-5270,True,False,120
JUDITH,MARTIN,(742)578-6557,False,False,121
CAROLYN,JOHNSON,(742)686-7576,True,False,122
MARILYN,MARTINEZ,(742)578-2158,False,False,123
RUTH,SMITH,(742)473-6693,True,False,124
STEPHANIE,RODRIGUEZ,(742)578-6496,False,False,125
JULIE,MOORE,(742)848-7315,True,False,126
KATHERINE,WHITE,(742)686-1451,True,False,127
LAURA,SMITH,(742)686-3739,False,False,128
BRITTANY,MOORE,(742)473-5851,True,False,129
JOAN,HARRIS,(742)473-9817,True,False,130
KELLY,SANCHEZ,(742)473-7627,True,False,131
OLIVIA,ANDERSON,(742)848-2210,False,False,132
SHARON,PEREZ,(742)848-9681,False,False,133
JEAN,SMITH,(742)473-9125,True,False,134
DEBRA,SMITH,(742)473-9098,True,False,135
DORIS,PEREZ,(742)578-7519,False,False,136
OLIVIA,WILLIAMS,(742)473-7275,False,False,137
MARILYN,MARTINEZ,(742)686-4488,True,False,138
GRACE,PEREZ,(742)578-5025,False,False,139
AMY,THOMPSON,(742)848-9746,False,False,140
CHRISTINE,ANDERSON,(742)578-8268,True,False,141
CHRISTINA,SMITH,(742)848-6279,False,False,142
ANDREA,MOORE,(742)578-4991,False,False,143
ROSE,LOPEZ,(742)473-5848,False,False,144
LAURA,GARCIA,(742)578-5423,False,False,145
DOROTHY,GARCIA,(742)473-4503,False,False,146
MICHELLE,ANDERSON,(742)848-5194,True,False,147
SOPHIA,SANCHEZ,(742)578-6216,True,False,148
SARAH,LEE,(742)578-6266,True,False,149
ANNA,LEE,(742)686-7978,True,False,150
KAREN,WILLIAMS,(742)686-4788,True,False,151
AMANDA,JONES,(742)686-7888,True,False,152
DENISE,WILSON,(742)848-2391,True,False,153
JUDITH,JOHNSON,(742)473-7330,True,False,154
MARIA,MARTIN,(742)473-4058,True,False,155
